Label	Parent	Equivalent
LABEL	SC % SPLIT=|	EC %
acute disseminated encephalomyelitis	nervous system disease
allergic disease	disease
arthritis	musculoskeletal system disease
autoimmune cardiomyopathy	autoimmune disease
autoimmune disease	disease
autoimmune neuropathy	autoimmune disease
autoimmune thyroiditis	autoimmune disease|endocrine system disease
autoimmune uveitis	autoimmune disease
cholangitis	gastrointestinal system disease
disease	host health status
disease of anatomical entity	additional diseases by category
disease of mental health	additional diseases by category
disease of metabolism	additional diseases by category
endocrine system disease	disease of anatomical entity
female reproductive system disease	reproductive system disease
gastrointestinal system disease	disease of anatomical entity
genetic disease	additional diseases by category
Goodpasture syndrome	autoimmune disease
Graves disease	autoimmune disease|endocrine system disease
hypothyroidism	endocrine system disease
infectious disease	disease
male reproductive system disease	reproductive system disease
multiple sclerosis	nervous system disease
musculoskeletal system disease	disease of anatomical entity
myasthenia gravis	autoimmune disease|nervous system disease
neoplasm	disease
nervous system disease	disease of anatomical entity
oophoritis	endocrine system disease
prostatitis	male reproductive system disease
reproductive system disease	disease of anatomical entity
sensorineural hearing loss	nervous system disease
syndrome	additional diseases by category
Tamiasciurus hudsonicus	organism
Mesocricetus auratus	organism
Duck hepatitis A virus 1	organism
Duck hepatitis A virus 3	organism
Mus musculus	organism
Rattus norvegicus	organism
Cavia porcellus	organism
Viruses	organism
Cowpox virus	organism
Monkeypox virus	organism
Vaccinia virus	organism
Variola virus	organism
Fowlpox virus	organism
H5N1 subtype	organism
H9N2 subtype	organism
H10N7 subtype	organism
Proteus penneri	organism
Human alphaherpesvirus 1	organism
Human alphaherpesvirus 1 strain KOS	organism
Human alphaherpesvirus 2	organism
Bovine alphaherpesvirus 1	organism
Equid alphaherpesvirus 1	organism
Equid alphaherpesvirus 4	organism
Human alphaherpesvirus 3	organism
Suid alphaherpesvirus 1	organism
Human betaherpesvirus 5	organism
Murid betaherpesvirus 1	organism
Murine cytomegalovirus (strain Smith)	organism
Human betaherpesvirus 7	organism
Human gammaherpesvirus 4	organism
Hepatitis B virus	organism
Woodchuck hepatitis virus 7	organism
Anatid alphaherpesvirus 1	organism
African swine fever virus	organism
Human adenovirus 2	organism
Human papillomavirus	organism
Human papillomavirus type 33	organism
Human papillomavirus type 6b	organism
Kappapapillomavirus 2	organism
JC polyomavirus	organism
Canine parvovirus	organism
Porcine parvovirus	organism
Human parvovirus B19	organism
Human mastadenovirus B	organism
Human rotavirus A	organism
Infectious bursal disease virus	organism
Foot-and-mouth disease virus - type Asia 1	organism
Eastern equine encephalitis virus	organism
Semliki Forest virus	organism
Sindbis virus	organism
Venezuelan equine encephalitis virus	organism
Western equine encephalitis virus	organism
Rubella virus	organism
Lactate dehydrogenase-elevating virus	organism
Lelystad virus	organism
Dengue virus 1	organism
Dengue virus 2	organism
Dengue virus 3	organism
Dengue virus 4	organism
Japanese encephalitis virus	organism
Japanese encephalitis virus strain SA-14	organism
Kunjin virus	organism
Saint Louis encephalitis virus	organism
West Nile virus	organism
Tick-borne encephalitis virus	organism
Tick-borne encephalitis virus (WESTERN SUBTYPE)	organism
Yellow fever virus	organism
Classical swine fever virus	organism
Bovine viral diarrhea virus 1	organism
Hepacivirus C	organism
Infectious bronchitis virus	organism
Bovine coronavirus	organism
Feline infectious peritonitis virus	organism
Murine hepatitis virus	organism
Transmissible gastroenteritis virus	organism
Porcine transmissible gastroenteritis coronavirus strain Purdue	organism
Avian avulavirus 1	organism
Murine respirovirus	organism
Canine morbillivirus	organism
Measles morbillivirus	organism
Phocine morbillivirus	organism
Rinderpest morbillivirus	organism
Bovine orthopneumovirus	organism
Human orthopneumovirus	organism
Rabies lyssavirus	organism
Bovine ephemeral fever virus	organism
Influenza A virus	organism
H1N1 subtype	organism
H1N2 subtype	organism
H2N8 subtype	organism
Pythium insidiosum	organism
Influenza B virus	organism
Rift Valley fever virus	organism
Puumala virus Hallnas B1	organism
Norovirus GIV.1	organism
Lassa mammarenavirus	organism
Lassa virus Josiah	organism
Lymphocytic choriomeningitis mammarenavirus	organism
Lymphocytic choriomeningitis virus (strain Armstrong)	organism
Lymphocytic choriomeningitis virus (strain WE)	organism
Machupo mammarenavirus	organism
Reticuloendotheliosis virus	organism
Caprine arthritis encephalitis virus	organism
Equine infectious anemia virus	organism
Feline immunodeficiency virus	organism
Human immunodeficiency virus 1	organism
Human immunodeficiency virus 2	organism
Simian immunodeficiency virus - mac	organism
Simian immunodeficiency virus - sm	organism
Simian immunodeficiency virus	organism
Mouse mammary tumor virus	organism
Feline leukemia virus	organism
Murine leukemia virus	organism
Moloney murine leukemia virus	organism
Human endogenous retrovirus	organism
Avian leukosis virus	organism
Rous sarcoma virus	organism
Bovine leukemia virus	organism
Human T-cell leukemia virus type I	organism
Human T-lymphotropic virus 2	organism
H3N2 subtype	organism
H6N1 subtype	organism
H6N2 subtype	organism
H7N2 subtype	organism
H7N7 subtype	organism
H5N2 subtype	organism
H5N3 subtype	organism
Human T-cell lymphotrophic virus type 1 (Caribbean isolate)	organism
Streptococcus dysgalactiae subsp. equisimilis	organism
Rabbit hemorrhagic disease virus	organism
Norwalk virus	organism
Francisella tularensis subsp. tularensis	organism
Echovirus E6	organism
Enterovirus E	organism
Coxsackievirus B3	organism
Coxsackievirus B4	organism
Swine vesicular disease virus	organism
Human poliovirus 1	organism
Human poliovirus 2	organism
Human poliovirus 3	organism
Human hepatitis A virus Hu/Australia/HM175/1976	organism
Encephalomyocarditis virus	organism
Foot-and-mouth disease virus	organism
Foot-and-mouth disease virus - type A	organism
Foot-and-mouth disease virus (strain A5)	organism
Foot-and-mouth disease virus - type C	organism
Foot-and-mouth disease virus - type O	organism
Foot-and-mouth disease virus C1	organism
Foot-and-mouth disease virus - type SAT 1	organism
Foot-and-mouth disease virus - type SAT 3	organism
Theiler's encephalomyelitis virus	organism
Theiler's encephalomyelitis virus (STRAIN BEAN 8386)	organism
Human rhinovirus A2	organism
Human rhinovirus A89	organism
Paracoccidioides brasiliensis	organism
Plum pox virus	organism
Potato virus Y	organism
Tobacco mosaic virus	organism
Neisseria meningitidis MC58	organism
Norovirus GI	organism
Norovirus GII	organism
Cucumber mosaic virus	organism
Borna disease virus	organism
Hepatitis E virus	organism
Hepatitis delta virus	organism
Duck hepatitis B virus	organism
Ectromelia virus	organism
Equid gammaherpesvirus 2	organism
Vibrio cholerae O1	organism
H11N1 subtype	organism
Staphylococcus aureus	organism
Variola major virus	organism
Pseudomonas amygdali pv. morsprunorum	organism
Pseudomonas syringae pv. tagetis	organism
Streptococcus	organism
Streptococcus oralis	organism
Streptococcus salivarius	organism
Streptococcus sanguinis	organism
Streptococcus suis	organism
Streptococcus mutans	organism
Streptococcus sobrinus	organism
Streptococcus agalactiae	organism
Streptococcus pneumoniae	organism
Streptococcus pyogenes	organism
Streptococcus downei	organism
Parietaria officinalis	organism
Streptococcus sp. 'group B'	organism
Influenza A virus (A/X-31(H3N2))	organism
Streptococcus anginosus	organism
Theromyzon tessulatum	organism
Streptococcus criceti	organism
Streptococcus dysgalactiae	organism
Porcine circovirus 1	organism
Streptococcus ratti	organism
Chamaecyparis obtusa	organism
Corylus avellana	organism
Paraburkholderia fungorum	organism
Human parvovirus	organism
Neisseria meningitidis serogroup C	organism
Concholepas concholepas	organism
Mumps virus genotype G	organism
Enterovirus A	organism
Borreliella burgdorferi	organism
Bacillus amyloliquefaciens	organism
Bacillus anthracis	organism
Duck Tembusu virus	organism
Bacillus subtilis	organism
Norovirus	organism
Bacillus thuringiensis	organism
H8N4 subtype	organism
H12N5 subtype	organism
Clostridium botulinum	organism
Salmonella enterica subsp. enterica serovar Enteritidis	organism
Clostridioides difficile	organism
Clostridium perfringens	organism
Clostridium tetani	organism
Clostridium beijerinckii	organism
Ebola virus	organism
H3N1 subtype	organism
Yokenella regensburgei	organism
Phleum pratense	organism
Treponema pallidum	organism
Treponema pallidum subsp. pallidum	organism
Human metapneumovirus	organism
Listeria monocytogenes	organism
Listeria innocua	organism
Trueperella pyogenes	organism
Equine rhinitis B virus 2	organism
Bifidobacterium breve	organism
Corynebacterium diphtheriae	organism
Anacardium occidentale	organism
Leptospira interrogans	organism
Mycobacterium	organism
Mycobacterium avium	organism
Mycobacterium tuberculosis variant bovis	organism
Mycobacterium kansasii	organism
Mycobacterium leprae	organism
Mycobacterium avium subsp. paratuberculosis	organism
Mycolicibacterium smegmatis	organism
Mycobacterium tuberculosis	organism
Mycobacterium gastri	organism
Mycobacterium scrofulaceum	organism
H10N5 subtype	organism
Hepatitis E virus type 4	organism
Yersinia pestis KIM10+	organism
Human polyomavirus 1	organism
Macaca mulatta polyomavirus 1	organism
Pseudomonas syringae pv. atrofaciens	organism
Narcine timlei	organism
Campylobacter jejuni	organism
Andes orthohantavirus	organism
Hantaan orthohantavirus	organism
Puumala orthohantavirus	organism
Sin Nombre orthohantavirus	organism
Crimean-Congo hemorrhagic fever orthonairovirus	organism
Coccidioides posadasii	organism
Human hepatitis A virus	organism
Human respiratory syncytial virus A	organism
Human respiratory syncytial virus B	organism
Mycoplasma gallisepticum	organism
Mycoplasma hyopneumoniae	organism
Helicobacter pylori	organism
H3N3 subtype	organism
Streptococcus agalactiae serogroup III	organism
Pseudomonas virus PRD1	organism
Visna-maedi virus	organism
Argentinian mammarenavirus	organism
Brazilian mammarenavirus	organism
Cali mammarenavirus	organism
Escherichia coli O6	organism
H10N4 subtype	organism
Tobacco leaf curl Zimbabwe virus	organism
Murine norovirus 1	organism
SARS coronavirus	organism
Brucella abortus	organism
Norovirus genogroup 1 isolates	organism
Brucella ovis	organism
Bifidobacterium thermacidophilum	organism
Canine parvovirus 2	organism
Pseudomonas syringae pv. helianthi	organism
Small ruminant lentivirus	organism
Bacillus anthracis str. Sterne	organism
Francisella tularensis	organism
Cowpox virus (Brighton Red)	organism
Severe acute respiratory syndrome coronavirus 2	organism
Adeno-associated virus	organism
Acinetobacter lwoffii	organism
Bacteroides ovatus	organism
Mycoplasma penetrans	organism
Human adenovirus 5	organism
Porcine epidemic diarrhea virus	organism
Aleutian mink disease virus	organism
Porcine reproductive and respiratory syndrome virus	organism
Plasmodium yoelii killicki	organism
Burkholderia pseudomallei	organism
Pseudomonas aeruginosa	organism
Salmonella enterica	organism
Cynodon dactylon	organism
Crassostrea gigas	organism
Acinetobacter haemolyticus	organism
Brucella melitensis	organism
Borreliella afzelii	organism
Borreliella garinii	organism
Anthoxanthum odoratum	organism
Ambrosia psilostachya	organism
Penaeus indicus	organism
Streptococcus pyogenes serotype M3	organism
Streptococcus pyogenes serotype M6	organism
Pseudomonas putida	organism
H14N6 subtype	organism
Chimpanzee adenovirus	organism
Erbovirus A	organism
Trypanosoma brucei rhodesiense	organism
Infectious bursal disease virus E	organism
Small ruminant morbillivirus	organism
Hepatitis C virus subtype 1a	organism
Hepatitis C virus subtype 1b	organism
Hepatitis C virus subtype 2a	organism
Hepatitis C virus subtype 2b	organism
Hepatitis C virus subtype 6a	organism
Coxsackievirus A16	organism
Pseudomonas savastanoi pv. glycinea	organism
Pseudomonas savastanoi pv. phaseolicola	organism
Campylobacter fetus subsp. fetus	organism
Campylobacter jejuni subsp. jejuni	organism
Dasyuroides byrnei	organism
Babesia divergens	organism
Human betaherpesvirus 6A	organism
Human betaherpesvirus 6B	organism
unidentified	organism
Cupressus torulosa	organism
Escherichia virus MS2	organism
Parietaria judaica	organism
Aspergillus terreus	organism
Candidatus Solibacter	organism
Chaetonerius	organism
Human papillomavirus type 16	organism
Human papillomavirus type 18	organism
Mupapillomavirus 1	organism
Pinus taeda	organism
Cryptomeria japonica	organism
Caviid betaherpesvirus 2	organism
Murid gammaherpesvirus 4	organism
Hepatitis C virus genotype 4	organism
Hepatitis C virus genotype 5	organism
Mycobacterium tuberculosis variant bovis BCG	organism
Lactobacillus johnsonii	organism
Norovirus GIII	organism
Yersinia enterocolitica (type O:8)	organism
Streptococcus pyogenes serotype M12	organism
Paragonimus westermani	organism
Rhipicephalus sanguineus	organism
Betula pendula	organism
Measles virus genotypes and isolates	organism
Bovine alphaherpesvirus 5	organism
Plasmodium yoelii yoelii 17XNL	organism
Foot-and-mouth disease virus - type SAT 2	organism
Rotavirus G4	organism
Hepatitis C virus subtype 2i	organism
Hepatitis C virus subtype 3a	organism
Nitrococcus mobilis	organism
Agrobacterium tumefaciens	organism
Classical swine fever virus isolates	organism
Campylobacter jejuni subsp. jejuni 260.94	organism
Fagopyrum esculentum	organism
H1N1 swine influenza virus	organism
Bertholletia excelsa	organism
Clostridium botulinum A	organism
Clostridium botulinum B	organism
Clostridium botulinum C	organism
Clostridium botulinum D	organism
Clostridium botulinum E	organism
Clostridium botulinum F	organism
Populus trichocarpa	organism
Arabidopsis thaliana	organism
Brassica juncea	organism
Chikungunya virus	organism
Sinapis alba	organism
Human gammaherpesvirus 8	organism
Muscovy duck parvovirus	organism
Shigella flexneri 5	organism
Malus domestica	organism
Francisella tularensis subsp. holarctica LVS	organism
Escherichia coli B	organism
Hantavirus HTN	organism
Chaetomium globosum	organism
Avian orthoreovirus	organism
Arachis hypogaea	organism
Goose parvovirus	organism
Glycine max	organism
Influenza A virus (A/Alaska/6/1977(H3N2))	organism
Duvenhage lyssavirus	organism
Enterovirus A71	organism
Hevea brasiliensis	organism
Ricinus communis	organism
African horse sickness virus	organism
Hepatitis C virus genotype 2	organism
Streptococcus mutans serotype C	organism
Cryptococcus neoformans var. neoformans	organism
Streptococcus pyogenes serotype M2	organism
Solanum lycopersicum	organism
Sesamum indicum	organism
Influenza A virus H3N2	organism
Hepatitis C virus genotype 6	organism
Rotavirus G9	organism
Enterovirus D68	organism
Human astrovirus 8	organism
Rhodococcus hoagii	organism
Clostridium botulinum A str. Hall	organism
Melospiza melodia	organism
Simian rotavirus A strain RRV	organism
Mycobacterium avium subsp. avium	organism
Dictyostelium discoideum	organism
Bluetongue virus 16	organism
Guanarito mammarenavirus	organism
Lolium perenne	organism
Neovison vison	organism
Oryza sativa	organism
Juniperus formosana	organism
Secale cereale	organism
Triticum aestivum	organism
Triticum turgidum	organism
Aegilops speltoides	organism
Vibrio cholerae O139	organism
Staphylococcus aureus subsp. aureus	organism
Porcine circovirus	organism
Pseudomonas avellanae	organism
Macropisthodon rudis	organism
Foot-and-mouth disease virus C3	organism
Aspergillus versicolor	organism
Exogenous mouse mammary tumor virus	organism
Whitewater Arroyo mammarenavirus	organism
Equine rhinitis A virus	organism
Neogobius melanostomus	organism
Moraxella catarrhalis	organism
Neisseria gonorrhoeae	organism
Neisseria meningitidis	organism
Norovirus GII.2	organism
Norovirus GII.3	organism
Hesperocyparis arizonica	organism
Neisseria meningitidis serogroup B	organism
Saccharomyces cerevisiae	organism
Merkel cell polyomavirus	organism
Blastomyces dermatitidis	organism
Dasyatis americana	organism
Aspergillus flavus	organism
Aspergillus niger	organism
Hepatitis E virus type 3	organism
Bordetella pertussis	organism
Cryptococcus neoformans	organism
Candida sojae	organism
Neisseria meningitidis serogroup Z	organism
Schizophyllum commune	organism
GB virus C	organism
Salmonella enterica subsp. enterica serovar Paratyphi A	organism
Micrurus corallinus	organism
Helicobacter pylori B128	organism
Citrobacter freundii	organism
Candida albicans	organism
[Candida] glabrata	organism
Candida parapsilosis	organism
Megathura crenulata	organism
Pistacia vera	organism
Alternaria alternata	organism
Escherichia coli	organism
Leishmania amazonensis	organism
Leishmania braziliensis	organism
Leishmania donovani	organism
Leishmania major	organism
Leishmania mexicana	organism
Leishmania tropica	organism
Leishmania aethiopica	organism
Leishmania infantum	organism
Leishmania panamensis	organism
Trypanosoma brucei	organism
Trypanosoma cruzi	organism
Trichomonas vaginalis	organism
Klebsiella pneumoniae	organism
Entamoeba histolytica	organism
Leptospira interrogans serovar Lai	organism
Eimeria acervulina	organism
Spermatophyta	organism
Toxoplasma gondii	organism
Plasmodium berghei	organism
Plasmodium chabaudi adami	organism
Plasmodium falciparum	organism
Proteus mirabilis	organism
Proteus vulgaris	organism
Plasmodium knowlesi	organism
Plasmodium vivax	organism
Plasmodium yoelii	organism
Babesia bovis	organism
Babesia bigemina	organism
Theileria annulata	organism
Theileria parva	organism
Theileria sergenti	organism
Providencia stuartii	organism
Salmonella	organism
Salmonella enterica subsp. enterica serovar Gallinarum	organism
Rhipicephalus decoloratus	organism
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum	organism
Salmonella enterica subsp. enterica serovar Heidelberg	organism
Gnathostoma binucleatum	organism
Serratia marcescens	organism
Porcine endogenous retrovirus	organism
Schistosoma japonicum	organism
Schistosoma mansoni	organism
Fasciola hepatica	organism
Taenia solium	organism
Taenia crassiceps	organism
Shigella dysenteriae	organism
Shigella flexneri	organism
Shigella sonnei	organism
Anisakis simplex	organism
Brugia malayi	organism
Onchocerca volvulus	organism
Yersinia enterocolitica	organism
Yersinia pestis	organism
Yersinia pseudotuberculosis	organism
Zika virus	organism
Norovirus GI.3	organism
Neisseria meningitidis serogroup Y	organism
Neisseria meningitidis serogroup A	organism
Macrocallista nimbosa	organism
Vibrio	organism
Vibrio cholerae	organism
Legionella pneumophila serogroup 1	organism
Severe acute respiratory syndrome-related coronavirus	organism
Dermatophagoides	organism
Dermatophagoides farinae	organism
Dermatophagoides pteronyssinus	organism
Blattella germanica	organism
Salmonella enterica subsp. enterica serovar Minnesota	organism
Galleria mellonella	organism
Aggregatibacter actinomycetemcomitans	organism
Actinobacillus pleuropneumoniae	organism
Pinus pinaster	organism
Drosophila melanogaster	organism
Haemophilus influenzae	organism
Avibacterium paragallinarum	organism
[Haemophilus] ducreyi	organism
Rotavirus G3	organism
Plasmodium yoelii yoelii	organism
Foot-and-mouth disease virus (strain O1)	organism
Glossina morsitans	organism
Lycodon rufozonatus	organism
Elaphe carinata	organism
Sinonatrix annularis	organism
Oocatochus rufodorsatus	organism
Elaphe taeniura	organism
Vladivostok virus	organism
Aspergillus fumigatus	organism
Pasteurella multocida	organism
Salmonella thompson C1	organism
Mannheimia haemolytica	organism
Anaplasma marginale	organism
Muscovy duck reovirus	organism
Styela plicata	organism
Vertebrata	organism
Coxiella burnetii	organism
Tetronarce californica	organism
Ehrlichia ruminantium	organism
Rickettsia conorii	organism
Orientia tsutsugamushi	organism
Danio rerio	organism
Carassius auratus	organism
Salmo salar	organism
Chlamydia trachomatis	organism
Escherichia coli K-12	organism
Chlamydia psittaci	organism
Chlamydia abortus	organism
Chlamydia pneumoniae	organism
Porphyromonas gingivalis	organism
Taylorella asinigenitalis	organism
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	organism
Porcine circovirus 2	organism
Ptyas dhumnades	organism
Vipera aspis	organism
Protobothrops elegans	organism
Juniperus saxicola	organism
Columba livia	organism
Multiple sclerosis associated retrovirus element	organism
Gallus gallus	organism
Salmonella enterica subsp. enterica serovar Typhi	organism
Salmonella enterica subsp. enterica serovar Typhimurium	organism
Neisseria meningitidis H44/76	organism
Meleagris gallopavo	organism
Notamacropus eugenii	organism
Leptospira sp. Akiyami A	organism
Platyrrhini	organism
Anaplasma phagocytophilum	organism
Macaca fascicularis	organism
Papio cynocephalus	organism
Pan troglodytes	organism
Homo sapiens	organism
Canis lupus familiaris	organism
Bacillus subtilis subsp. spizizenii	organism
Vulpes vulpes	organism
Felis catus	organism
Inia geoffrensis	organism
Orcinus orca	organism
Physeter catodon	organism
Balaenoptera physalus	organism
Equus caballus	organism
Equus przewalskii	organism
Sus scrofa	organism
Salmonella enterica subsp. enterica serovar Dublin	organism
Bos taurus	organism
Capra hircus	organism
Ovis aries	organism
Oryctolagus cuniculus	organism
Leishmania donovani donovani	organism
planned process	process
administering substance in vivo		OBI:0600007
biological process	process
no rank	information content entity
subspecies	information content entity
